timestamp,IP_ORIGEM,PORTA_ORIGEM,ZONA_ORIGEM,IP_DESTINO,PORTA_DESTINO,ZONA_DESTINO,PROTOCOLO,APLICACAO,DURACAO_SESSAO,FINAL_SESSAO,BYTES,BYTES_RECEBIDOS,BYTES_ENVIADOS,LABEL
2022-09-05T10:07:58.000-03:00,150161196220,44070,UFPE,150.161.50.187,22,REDE_PRODUCAO,tcp,ssh,17,tcp-fin,202840,188285,14555,Legitimo
2022-09-05T10:35:13.000-03:00,150.161.6.84,43434,,150.161.50.54,22,REDE_PRODUCAO,tcp,ssh,25,tcp-fin,10536,5635,4901,Legitimo
2022-09-05T10:35:19.000-03:00,150.161.6.84,38248,,150.161.50.55,22,REDE_PRODUCAO,tcp,ssh,21,tcp-fin,10606,5845,4761,Legitimo
2022-09-05T10:35:28.000-03:00,150.161.6.84,41862,,150.161.50.56,22,REDE_PRODUCAO,tcp,ssh,24,tcp-fin,10606,5845,4761,Legitimo
2022-09-05T10:35:47.000-03:00,150.161.6.84,57494,,150.161.50.58,22,REDE_PRODUCAO,tcp,ssh,34,tcp-fin,11458,6487,4971,Legitimo
2022-09-05T10:38:07.000-03:00,150.161.6.84,43628,,150.161.50.54,22,REDE_PRODUCAO,tcp,ssh,15,tcp-fin,9204,4669,4535,Legitimo
2022-09-05T10:38:07.000-03:00,150.161.6.84,38442,,150.161.50.55,22,REDE_PRODUCAO,tcp,ssh,15,tcp-fin,9204,4669,4535,Legitimo
2022-09-05T10:38:08.000-03:00,150.161.6.84,42048,,150.161.50.56,22,REDE_PRODUCAO,tcp,ssh,16,tcp-fin,9204,4669,4535,Legitimo
2022-09-05T10:38:43.000-03:00,150161196182,52903,UFPE,150.161.50.139,22,REDE_PRODUCAO,tcp,ssh,1990,tcp-fin,83740,53159,30581,Legitimo
2022-09-05T11:15:08.000-03:00,150161196146,49498,UFPE,150.161.50.187,22,REDE_PRODUCAO,tcp,ssh,16,tcp-fin,75515,65243,10272,Legitimo
2022-09-05T11:45:28.000-03:00,150161196225,42680,UFPE,150.161.50.187,22,REDE_PRODUCAO,tcp,ssh,17,tcp-fin,31106,25703,5403,Legitimo
2022-09-05T11:46:00.000-03:00,150161196225,42692,UFPE,150.161.50.187,22,REDE_PRODUCAO,tcp,ssh,17,tcp-fin,144436,134905,9531,Legitimo
2022-09-05T12:02:41.000-03:00,150161196146,50626,UFPE,150.161.50.187,22,REDE_PRODUCAO,tcp,ssh,17,tcp-fin,23619,16511,7108,Legitimo
2022-09-05T12:05:21.000-03:00,150161196146,48494,UFPE,150.161.50.187,22,REDE_PRODUCAO,tcp,ssh,17,tcp-fin,23421,15461,7960,Legitimo
2022-09-05T12:42:42.000-03:00,150161196142,57974,UFPE,150.161.50.136,22,REDE_PRODUCAO,tcp,ssh,3684,aged-out,103862,53969,49893,Legitimo
2022-09-05T12:42:49.000-03:00,150161196142,48096,UFPE,150.161.50.139,22,REDE_PRODUCAO,tcp,ssh,4026,aged-out,60400,28493,31907,Legitimo
2022-09-05T13:53:00.000-03:00,150161196144,49638,UFPE,150.161.50.136,22,REDE_PRODUCAO,tcp,ssh,4010,aged-out,41306,24299,17007,Legitimo
2022-09-05T14:24:32.000-03:00,150161196220,45544,UFPE,150.161.50.187,22,REDE_PRODUCAO,tcp,ssh,17,tcp-fin,158066,147751,10315,Legitimo
2022-09-05T14:39:40.000-03:00,150.161.11.157,58012,UFPE,150.161.50.136,22,REDE_PRODUCAO,tcp,ssh,18,tcp-fin,6432,3213,3219,Legitimo
2022-09-05T14:43:02.000-03:00,150161196220,45894,UFPE,150.161.50.187,22,REDE_PRODUCAO,tcp,ssh,16,tcp-fin,157584,147105,10479,Legitimo
2022-09-05T14:46:04.000-03:00,150161196220,45906,UFPE,150.161.50.187,22,REDE_PRODUCAO,tcp,ssh,16,tcp-fin,157826,147577,10249,Legitimo
2022-09-05T14:47:36.000-03:00,150.161.11.168,33332,UFPE,150.161.50.187,22,REDE_PRODUCAO,tcp,ssh,16,tcp-fin,161441,151157,10284,Legitimo
2022-09-05T14:52:05.000-03:00,150.161.11.168,36324,UFPE,150.161.50.187,22,REDE_PRODUCAO,tcp,ssh,16,tcp-fin,154681,147217,7464,Legitimo
2022-09-05T14:53:14.000-03:00,150.161.11.168,36348,UFPE,150.161.50.187,22,REDE_PRODUCAO,tcp,ssh,17,tcp-fin,88589,78171,10418,Legitimo
2022-09-05T14:53:29.000-03:00,150161196220,45922,UFPE,150.161.50.187,22,REDE_PRODUCAO,tcp,ssh,16,tcp-fin,178654,166233,12421,Legitimo
2022-09-05T16:12:44.000-03:00,150.161.197.16,46634,UFPE,150.161.50.187,22,REDE_PRODUCAO,tcp,ssh,19,tcp-fin,76222,66145,10077,Legitimo
